ElementID	Dimension	Type Level 1	Type Level 2	Type Level 3	Type Level 4	Definition	Industry	Bildungsweg 1	Bildungsweg 2	Bildungsweg 3	Bildungsweg 4	Bildungsweg 5	Bildungsweg 6	Bildungsweg 7	Bildungsweg 8	Bildungsweg 9	Bildungsweg 10	Source	Connection SwissICT Model
2.3.2.4	Deskriptor	Fertigkeit	Psychomotorische Fertigkeit	Bewegungskontrolle	Bewegungsanpassung	Die eigenen Bewegungen oder die Bewegung eines Geräts in Erwartung von Änderungen der Geschwindigkeit und/oder Richtung eines sich bewegenden Objekts oder einer Szene timen.												https://www.onetonline.org/find/descriptor/result/1.A.2.b.4	
2.3.3	Deskriptor	Fertigkeit	Psychomotorische Fertigkeit	Reaktionszeit und Schnelligkeit		Fertigkeiten im Zusammenhang mit der Geschwindigkeit der Manipulation von Objekten													
2.3.3.1	Deskriptor	Fertigkeit	Psychomotorische Fertigkeit	Reaktionszeit und Schnelligkeit	Reaktionsgeschwindigkeit	Schnell (mit der Hand, dem Finger oder dem Fuß) auf ein Signal (Ton, Licht, Bild) reagieren, wenn dieses erscheint.												https://www.onetonline.org/find/descriptor/result/1.A.2.c.1	
2.3.3.2	Deskriptor	Fertigkeit	Psychomotorische Fertigkeit	Reaktionszeit und Schnelligkeit	Hand/Finger-Geschwindigkeit	Schnelle, einfache, wiederholte Bewegungen der Finger, Hände und Handgelenke ausführen.												https://www.onetonline.org/find/descriptor/result/1.A.2.c.2	
2.3.3.3	Deskriptor	Fertigkeit	Psychomotorische Fertigkeit	Reaktionszeit und Schnelligkeit	Gliedmaßen-Geschwindigkeit	Arme und Beine schnell bewegen.												https://www.onetonline.org/find/descriptor/result/1.A.2.c.3	
2.4.1	Deskriptor	Fertigkeit	Physische Fertigkeit	Körperliche Stärke		Fertigkeiten im Zusammenhang mit der Ausübung von Kraft													
2.4.1.1	Deskriptor	Fertigkeit	Physische Fertigkeit	Körperliche Stärke	Statische Kraft	Maximale Muskelkraft zum Heben, Schieben, Ziehen oder Tragen von Gegenständen aufbringen.												https://www.onetonline.org/find/descriptor/result/1.A.3.a.1	
2.4.1.2	Deskriptor	Fertigkeit	Physische Fertigkeit	Körperliche Stärke	Explosive Kraft	Sich mit kurzen Muskelkraftstößen fortbewegen (z.B. Springen oder Sprinten) oder einen Gegenstand werfen.												https://www.onetonline.org/find/descriptor/result/1.A.3.a.2	
2.4.1.3	Deskriptor	Fertigkeit	Physische Fertigkeit	Körperliche Stärke	Dynamische Kraft	Muskelkraft wiederholt oder kontinuierlich über einen längeren Zeitraum ausüben. Dazu gehören muskuläre Ausdauer und Widerstand gegen Muskelermüdung.												https://www.onetonline.org/find/descriptor/result/1.A.3.a.3	
2.4.1.4	Deskriptor	Fertigkeit	Physische Fertigkeit	Körperliche Stärke	Rumpfkraft	"Bauch- und unteren Rückenmuskeln wiederholt oder kontinuierlich über einen längeren Zeitraum zum Abstützen von Körperteilen einsetzen, ohne dass sie ""nachgeben"" oder ermüden."												https://www.onetonline.org/find/descriptor/result/1.A.3.a.4	
2.4.2	Deskriptor	Fertigkeit	Physische Fertigkeit	Ausdauer		Die Fertigkeit, sich über längere Zeiträume körperlich anzustrengen, ohne zu ermüden oder außer Atem zu kommen.													
2.4.2.1	Deskriptor	Fertigkeit	Physische Fertigkeit	Ausdauer	Kondition	Sich über längere Zeiträume körperlich anstrengen, ohne zu ermüden oder außer Atem zu kommen.												https://www.onetonline.org/find/descriptor/result/1.A.3.b.1	
2.4.3	Deskriptor	Fertigkeit	Physische Fertigkeit	Beweglichkeit, Gleichgewicht und Koordination		Fertigkeiten im Zusammenhang mit der Kontrolle von grobmotorischen Bewegungen													
2.4.3.1	Deskriptor	Fertigkeit	Physische Fertigkeit	Beweglichkeit, Gleichgewicht und Koordination	Dehnbarkeit	Sich mit dem Körper, den Armen und/oder den Beinen beugen, strecken, verdrehen oder strecken.												https://www.onetonline.org/find/descriptor/result/1.A.3.c.1	
2.4.3.2	Deskriptor	Fertigkeit	Physische Fertigkeit	Beweglichkeit, Gleichgewicht und Koordination	Dynamik	Sich schnell und wiederholt mit dem Körper, den Armen und/oder Beinen beugen, strecken, drehen oder greifen.												https://www.onetonline.org/find/descriptor/result/1.A.3.c.2	
2.4.3.3	Deskriptor	Fertigkeit	Physische Fertigkeit	Beweglichkeit, Gleichgewicht und Koordination	Körperkoordination	Die Bewegungen von Armen, Beinen und Rumpf gemeinsam koordinieren, wenn der ganze Körper in Bewegung ist.												https://www.onetonline.org/find/descriptor/result/1.A.3.c.3	
2.4.3.4	Deskriptor	Fertigkeit	Physische Fertigkeit	Beweglichkeit, Gleichgewicht und Koordination	Gleichgewicht	Das Gleichgewicht halten oder wiedererlangen oder in einer instabilen Lage aufrecht bleiben.												https://www.onetonline.org/find/descriptor/result/1.A.3.c.4	
2.5.1	Deskriptor	Fertigkeit	Psychische Fertigkeiten	Selbstbeherrschung		Gelassenheit, Beherrschung von Emotionen, Kontrolle von Ärger und/oder Vermeidung von aggressivem Verhalten												https://www.onetonline.org/find/descriptor/result/1.C.4.a	
2.5.2	Deskriptor	Fertigkeit	Psychische Fertigkeiten	Stresstoleranz		Ruhiger und effektiven Umgang mit Druck und Stress sowie in der Annahme von Kritik. 												https://www.onetonline.org/find/descriptor/result/1.C.4.b	
3.1.1	Deskriptor	Einstellung	Leistungsorientierung	Ambition		Wille, sich persönlich herausfordernde Ziele zu setzen und aufrechtzuerhalten und sich zu bemühen, anstehende Aufgaben zu bewältigen. 												https://www.onetonline.org/find/descriptor/result/1.C.1.a	
3.1.2	Deskriptor	Einstellung	Leistungsorientierung	Durchhaltevermögen		Beharrlichkeit im Umgang mit Hindernissen												https://www.onetonline.org/find/descriptor/result/1.C.1.b	
3.1.3	Deskriptor	Einstellung	Leistungsorientierung	Tatkraft		Bereitschaft, (fachliche) Verantwortung zu übernehmen, Herausforderungen anzunehmen und anstehende Arbeit anzupacken 												https://www.onetonline.org/find/descriptor/result/1.C.1.c	
3.2.1	Deskriptor	Einstellung	Beziehungsorientierung	Teamorientierung		Vorliebe für den persönlichen Kontakt und die Zusammenarbeit mit anderen, statt alleine zu arbeiten												https://www.onetonline.org/find/descriptor/result/1.C.3.c	
3.2.2	Deskriptor	Einstellung	Beziehungsorientierung	Führungsorientierung		Bereitschaft, Verantwortung für andere Personen zu übernehmen und Meinungen und Anweisungen zu geben.												https://www.onetonline.org/find/descriptor/result/1.C.2.b	
3.4.1	Deskriptor	Einstellung	Gewissenhaftigkeit	Verlässlichkeit		Zuverlässigkeit, Verantwortungsbewusstsein und Verlässlichkeit sowie die Erfüllung von Verpflichtungen												https://www.onetonline.org/find/descriptor/result/1.C.5.a	
3.4.2	Deskriptor	Einstellung	Gewissenhaftigkeit	Genauigkeit		Aufmerksamkeit für alle Einzelheiten und Gründlichkeit bei der Erledigung der Arbeitsaufgaben												https://www.onetonline.org/find/descriptor/result/1.C.5.b	
